target_name,ensg_id,annotations_grade_3,annotations_grade_2,annotations_grade_1
AAMP,ENSG00000127837,cytoplasmic,,nucleoplasm
AATF,ENSG00000275700,nucleolus_gc,,
ABCE1,ENSG00000164163,cytoplasmic,vesicles,nucleoplasm
ABR,ENSG00000159842,cytoplasmic,vesicles,
ACAP2,ENSG00000114331,cytoplasmic,,
ACAP3,ENSG00000131584,cytoplasmic,mitochondria;big_aggregates,
ACLY,ENSG00000131473,cytoplasmic,nucleoplasm,
ACTB,ENSG00000075624,membrane;cytoskeleton,cytoplasmic,
ACTG1,ENSG00000184009,membrane;cytoskeleton,,cytoplasmic
ACTN1,ENSG00000072110,membrane;cytoskeleton,,
ACTN4,ENSG00000130402,membrane;cytoskeleton,,
ACTR2,ENSG00000138071,membrane,vesicles,cytoplasmic
ACTR5,ENSG00000101442,nucleoplasm,chromatin,
AGAP1,ENSG00000157985,cytoplasmic,cell_contact;membrane,
AGAP3,ENSG00000133612,nucleoplasm;cytoplasmic;cell_contact,,
AGO1,ENSG00000092847,cytoplasmic,,
AGO2,ENSG00000123908,cytoplasmic,big_aggregates,
AGPAT2,ENSG00000169692,er,vesicles,
AGTRAP,ENSG00000177674,vesicles;golgi,,focal_adhesions
AHCY,ENSG00000101444,cytoplasmic;nucleoplasm,,
AHSA1,ENSG00000100591,nucleoplasm;cytoplasmic,,
AKAP12,ENSG00000131016,membrane,cytoplasmic;big_aggregates,
AKAP13,ENSG00000170776,cytoplasmic,,
AKAP8L,ENSG00000011243,chromatin,nuclear_punctae,
AKR1A1,ENSG00000117448,cytoplasmic;big_aggregates,,
AKT1,ENSG00000142208,membrane;cytoplasmic;nucleoplasm,vesicles,cell_contact
AKT1S1,ENSG00000204673,cytoplasmic,,
AKT2,ENSG00000105221,membrane,nucleoplasm;cytoplasmic,vesicles
ALCAM,ENSG00000170017,cell_contact;membrane,,
ALDH16A1,ENSG00000161618,cytoplasmic;vesicles,,
ALDH9A1,ENSG00000143149,cytoplasmic;nucleoplasm,,
ALG2,ENSG00000119523,er,,
AMBRA1,ENSG00000110497,nucleoplasm,cytoplasmic,
ANAPC11,ENSG00000141552,nucleoplasm;cytoplasmic,,
ANAPC16,ENSG00000166295,nucleoplasm;cytoplasmic,,cytoskeleton
ANAPC2,ENSG00000176248,cytoplasmic;nucleoplasm,,
ANAPC4,ENSG00000053900,nucleoplasm;cytoplasmic,cytoskeleton,big_aggregates
ANKRD10,ENSG00000088448,nucleoplasm,,
ANKRD11,ENSG00000167522,nucleoplasm,,cytoplasmic
ANKRD13A,ENSG00000076513,cytoplasmic,vesicles,
ANKRD13C,ENSG00000118454,er,,nucleoplasm;cytoplasmic
ANKRD17,ENSG00000132466,cytoplasmic,,nucleoplasm
