lab_Id,Unique identifier for each Specimen,
PatientId,Unique  identifier for each Patient,
inferred_sex,Sex for each Patient inferred from RNAseq data using a set of 28 differentially expressed genes,Inferred sex can be discrepant with sex as determined through the EMR if Patient was post-BMT or an older male with a missing Y.  Gender from the EMR was used in all analyses
consensus_sex,Sex description for each Patient obtained from the EMR and filled in with inferred sex information using RNAseq data and a set of 28 differentially expressed genes,
inferred_ethnicity,Ethnicity for each Patient inferred from genomic data using a  methodology developped by Zheng and Weir (2015) ,
ageAtDiagnosis,Difference in years between diagnosis date on Disease Instance and date of birth on Patient,Blank: Unable to obtain date of birth and/or date of diagnosis
isRelapse,If Specimen is obtained at time of relapsed disease,Consensus call for isRelapsed after manual review
isDenovo,If Specimen is obtained at the time of de novo disease,
isTransformed,If Patient transformed from another heme malignancy before or at the time of Specimen collection,
finalFusion,Cytogenetic fusions described in the EMR and manually reviewed ,Manual review process is described in the Supplemental Material and Methods section; Cytogeneic fusions described for the sample or described in additional samples from the same Patient + 7 days in the future and - infinity; None means no fusions described; Unknown means no information was available to assess fusion presence
specificDxAtAcquisition_MDSMPN,Patient's specific diagnosis at inclusion was MDS/MPN related specific diagnosis,True if at least 1 Diagnosis History record on Disease Instance has instance of diagnosis of Myelodysplastic/Myeloproliferative neoplasms 
nonAML_MDSMPN_specificDxAtAcquisition,"Patient's specific diagnosis at inclusion was not AML, MDS or MPN related specific diagnosis",
priorMalignancyNonMyeloid,If Patient had a prior non-myeloid malignancy ,Yes if:  Patient had a prior non-myeloid malignancy 
priorMalignancyType,Type of prior non-myeloid malignancy,All instances  are listed in the order they were described in the EMR (separated by vertical bars); Disease instances can be duplicated due to multiple treatment regiments
cumulativeChemo, If Patient has ever received chemotherapy during the course of their treatment,Yes if:  Patient has ever received chemotherapy during the course of their treatment; Note: Includes chemotherapy for the current malgnancy
priorMalignancyRadiationTx,If Patient has received radiation treatment for a prior non-heme malignancy,Yes if: Patient received radiation treatment for a prior malignancy (non- heme)
